Name,S1,S2,Cluster
CA Placer,0.24014299,0.46037456,A
CA Plumas,0.07782632,0.7413157,A
CA Riverside,0.6440735,0.13378155,B
CA Sacramento,0.5968494,0.18075652,B
CA San Benito,0.51467794,0.21986504,B
CA San Bernardino,0.68509,0.11893108,B
CA San Diego,0.6391627,0.10884052,B
CA San Francisco,0.7054116,1.33526155e-14,B
CA San Joaquin,0.618011,0.1872155,B
CA San Luis Obispo,0.31424183,0.41445807,B
CA San Mateo,0.6810729,1.500936e-8,B
CA Santa Barbara,0.61843216,0.10732555,B
CA Santa Clara,0.6953478,3.5526924e-9,B
CA Santa Cruz,0.5358878,0.18091768,B
CA Shasta,0.13058147,0.71029633,A
CA Sierra,0.06336874,0.7298231,A
CA Siskiyou,0.12979805,0.7054517,A
CA Solano,0.51043224,0.2378364,B
CA Sonoma,0.45999792,0.2600062,B
CA Stanislaus,0.53580713,0.27638283,B
CA Sutter,0.37801144,0.40215594,B
CA Tehama,0.17815647,0.6656272,A
CA Trinity,0.096891455,0.75221014,A
CA Tulare,0.60349905,0.21052165,B
CA Tuolumne,0.10014062,0.7056244,A
CA Ventura,0.50292796,0.21581358,B
CA Yolo,0.5836051,0.122386105,B
CA Yuba,0.3494346,0.47943297,B
CO Adams,0.4908433,0.262751,B
CO Alamosa,0.33425102,0.4763858,B
CO Arapahoe,0.44988889,0.2878013,B
CO Archuleta,0.074027665,0.6607365,A
CO Baca,0.018102722,0.8305617,A
CO Bent,0.08780468,0.7693635,A
CO Boulder,0.39477775,0.31845513,B
CO Broomfield,0.33473682,0.39260748,B
CO Chaffee,0.33590016,0.4333079,B
CO Cheyenne,0.028111076,0.7829648,A
CO Clear Creek,0.14551324,0.57405025,A
CO Conejos,0.22245738,0.56752646,A
CO Costilla,0.292252,0.5426806,A
CO Crowley,0.21017599,0.635343,A
CO Custer,0.0060981154,0.7709238,A
CO Delta,0.047816444,0.7733346,A
CO Denver,0.62039924,0.13422182,B
CO Dolores,4.734295e-8,0.81187826,A
CO Douglas,0.21616708,0.46759725,A
CO Eagle,0.4271978,0.24529971,B
CO El Paso,0.13507651,0.57383025,A
CO Elbert,0.19459409,0.5879326,A
CO Fremont,0.04226048,0.7893767,A
CO Garfield,0.28939897,0.45050654,B
CO Gilpin,0.046207868,0.7057289,A
CO Grand,0.13922685,0.58406574,A
CO Gunnison,0.32362428,0.37681228,B
CO Hinsdale,0.0180297,0.7165189,A
CO Huerfano,0.12618877,0.7171283,A
CO Jackson,0.034110613,0.73954135,A
CO Jefferson,0.2970096,0.43896347,B
CO Kiowa,1.1095326e-5,0.839148,A
CO Kit Carson,0.17760167,0.64490473,A
CO La Plata,0.17357987,0.5770471,A
CO Lake,0.22183509,0.47142836,A
CO Larimer,0.24109793,0.4621966,A
CO Las Animas,0.119504124,0.6983062,A
CO Lincoln,0.06122086,0.741501,A
CO Logan,0.24999389,0.593535,A
CO Mesa,0.07495258,0.72176427,A
CO Mineral,0.09530691,0.6698673,A
CO Moffat,0.08218799,0.71830416,A
CO Montezuma,0.09368963,0.7090068,A
CO Montrose,0.1603921,0.6339457,A
CO Morgan,0.5130742,0.3333907,B
CO Otero,0.18059245,0.67554605,A
CO Ouray,0.17195424,0.547792,A
CO Park,0.01955471,0.7073194,A
CO Phillips,0.0954571,0.71268713,A
CO Pitkin,0.32823414,0.35163492,B
CO Prowers,0.111563824,0.7173205,A
CO Pueblo,0.23344114,0.5837238,A
CO Rio Blanco,0.010589735,0.76043165,A
CO Rio Grande,0.23591986,0.57987154,A
CO Routt,0.26142502,0.42885506,B
CO Saguache,0.3503383,0.45088762,B
CO San Juan,0.13018091,0.6599625,A
CO San Miguel,0.25083837,0.4293569,B
CO Sedgwick,0.058408115,0.78484356,A
CO Summit,0.34727868,0.32869324,B
CO Teller,0.05925956,0.7183147,A
CO Washington,0.044112723,0.7701776,A
CO Weld,0.30267432,0.4500489,B
CO Yuma,0.14320688,0.6647566,A
CT Tolland,0.47381002,0.2749533,B
CT New Haven,0.6649274,0.14539656,B
CT Windham,0.18586507,0.56353533,A
CT Hartford,0.5709789,0.20962656,B
CT Litchfield,0.45104676,0.35681576,B
CT Fairfield,0.67710334,0.12050915,B
CT New London,0.33632737,0.4107175,B
CT Middlesex,0.430134,0.37576538,B
DE New Castle,0.43153733,0.40294224,B
DE Kent,0.41965526,0.37739593,B
DE Sussex,0.37525567,0.46732697,B
