Name,S1,S2
FL Bradford,45.955925,202.34361
FL Brevard,76.626144,151.49586
FL Broward,212.14772,29.085297
FL Calhoun,72.09193,179.77783
FL Charlotte,59.136208,171.80008
FL Citrus,30.925158,207.41483
FL Clay,60.09601,166.72989
FL Collier,122.86584,103.21518
FL Columbia,67.57822,184.30508
FL Desoto,133.0126,114.10093
FL Dixie,52.449646,207.06349
FL Duval,136.88974,105.57234
FL Escambia,102.55743,134.29645
FL Flagler,39.803524,182.31427
FL Franklin,53.715187,192.8049
FL Gadsden,166.04874,95.45687
FL Gilchrist,36.979736,204.10077
FL Glades,94.15218,149.98479
FL Gulf,63.105366,181.91298
FL Hamilton,114.15463,150.83699
FL Hardee,125.59518,118.57039
FL Hendry,206.79836,53.080227
FL Hernando,35.7455,198.73807
FL Highlands,61.176903,177.02419
FL Hillsborough,161.05467,73.20603
FL Holmes,30.73668,220.29033
FL Indian River,66.36698,162.54741
FL Jackson,97.09607,159.13377
FL Jefferson,93.350204,149.17363
FL Lafayette,123.44773,147.72484
FL Lake,66.487495,164.33775
FL Lee,116.64996,115.51726
FL Leon,134.10977,88.2567
FL Levy,32.503567,209.51457
FL Liberty,113.98312,147.85707
FL Madison,113.41402,147.82178
FL Manatee,104.92129,128.22989
FL Marion,66.17845,171.28413
FL Martin,83.96083,147.29495
FL Miami-Dade,251.55605,3.7108588e-5
FL Monroe,117.23351,114.499695
FL Nassau,28.593554,200.15907
FL Okaloosa,65.74002,161.47357
FL Okeechobee,91.40985,157.65672
FL Orange,181.46013,53.623077
FL Osceola,162.58469,71.17396
FL Palm Beach,177.75537,58.7993
FL Pasco,71.67816,162.99442
FL Pinellas,123.53168,115.94963
FL Polk,117.44721,123.00154
FL Putnam,63.72892,184.71971
FL Santa Rosa,46.20848,161.21895
FL Sarasota,89.77723,145.80122
FL Seminole,71.20095,151.82207
FL St. Johns,61.899307,157.90955
FL St. Lucie,115.95436,104.428635
FL Sumter,43.379463,176.62265
FL Suwannee,102.3728,161.42526
FL Taylor,68.90882,186.60536
FL Union,69.93173,183.00224
FL Volusia,84.71679,150.67717
FL Wakulla,42.196598,192.36731
FL Walton,53.338764,181.75522
FL Washington,64.35589,189.0784
GA Appling,122.51022,148.67389
GA Atkinson,112.94554,146.5685
GA Bacon,87.26484,177.27689
GA Baker,127.0024,128.64299
GA Baldwin,142.69272,111.77304
GA Banks,35.26993,202.65257
GA Barrow,71.945946,159.61891
GA Bartow,76.434456,162.8455
GA Ben Hill,91.6676,163.02565
GA Berrien,44.66312,199.7257
GA Bibb,161.8041,98.102455
GA Bleckley,65.74536,180.22458
GA Brantley,31.089563,210.79013
GA Brooks,128.03905,127.10588
GA Bryan,71.529594,155.53882
GA Bulloch,87.08655,147.45511
GA Burke,103.97868,150.24083
GA Butts,141.19754,121.169426
GA Calhoun,204.02695,70.60512
GA Camden,49.200825,174.84242
GA Candler,96.78556,161.79109
GA Carroll,83.00969,160.31842
GA Catoosa,26.352795,195.34236
GA Charlton,90.31015,158.92729
GA Chatham,136.64108,98.38747
GA Chattahoochee,158.77444,74.2215
GA Chattooga,45.299286,202.96776
GA Cherokee,66.53475,148.04684
GA Clarke,158.0739,68.905785
GA Clay,178.21463,100.2026
GA Clayton,220.29936,32.972054
GA Clinch,105.939285,159.4758
GA Cobb,144.83818,79.20774
GA Coffee,112.07375,149.14598
GA Colquitt,140.15114,126.43046
GA Columbia,55.405178,153.91165
GA Cook,69.9609,179.3292
GA Coweta,58.599052,157.0066
GA Crawford,35.210686,198.4922
GA Crisp,122.51064,139.3987
GA Dade,26.625317,204.40994
GA Dawson,31.81088,187.81264
GA Decatur,117.0979,139.38567
GA DeKalb,225.4947,12.547602
GA Dodge,57.27554,187.85191
GA Dooly,164.10487,99.77525
GA Dougherty,265.41534,22.82518
GA Douglas,138.74387,102.2461
GA Early,243.9895,62.854336
GA Echols,114.36533,134.90324
GA Effingham,37.14648,187.68994
GA Elbert,51.71959,196.6606
GA Emanuel,92.18,165.33868
GA Evans,97.51159,161.1008
GA Fannin,23.667517,214.69615
GA Fayette,72.18206,138.85085
GA Floyd,68.2184,175.17241
GA Forsyth,63.67097,139.43268
GA Franklin,41.278526,209.86311
GA Fulton,225.21457,12.93452
GA Gilmer,39.86784,194.94559
GA Glascock,36.072777,206.06995
GA Glynn,94.85235,148.25784
GA Gordon,80.49829,167.06844
GA Grady,81.84395,169.33261
GA Greene,91.77082,149.41997
GA Gwinnett,172.16684,55.20978
GA Habersham,99.171005,146.92262
GA Hall,120.386925,115.358406
GA Hancock,292.51093,20.094551
GA Haralson,26.650215,215.4655
GA Harris,49.463802,166.10732
GA Hart,35.283226,203.02635
GA Heard,38.179092,201.84628
GA Henry,127.68591,100.273964
GA Houston,86.25639,146.50446
GA Irwin,56.194283,194.46187
GA Jackson,41.823154,185.97676
GA Jasper,40.9715,191.36882
GA Jeff Davis,91.798874,169.84927
GA Jefferson,137.72395,126.765625
GA Jenkins,184.26328,91.5548
GA Johnson,115.68879,143.21312
GA Jones,35.162544,190.01216
GA Lamar,72.13237,164.74464
GA Lanier,79.11859,165.86078
GA Laurens,79.035645,170.4059
GA Lee,105.83971,134.13626
GA Liberty,124.51461,114.75182
GA Lincoln,61.534103,184.29805
GA Long,74.52101,158.71202
GA Lowndes,101.83152,135.74481
GA Lumpkin,31.343967,194.52914
GA Macon,157.40326,95.268234
GA Madison,37.548523,196.34586
GA Marion,118.193985,142.26306
GA McDuffie,77.32171,164.57458
GA McIntosh,67.43729,175.05974
GA Meriwether,79.445724,167.32288
GA Miller,53.592815,194.06793
GA Mitchell,218.52211,64.8752
GA Monroe,84.64375,152.07579
GA Montgomery,54.87765,186.52493
GA Morgan,38.00997,186.86241
GA Murray,33.837757,208.83084
GA Muscogee,166.66974,85.80753
GA Newton,113.08137,124.97349
GA Oconee,58.50345,153.95726
GA Oglethorpe,69.3927,163.23616
GA Paulding,56.571857,161.41849
GA Peach,126.772804,122.988785
GA Pickens,29.318893,194.57251
GA Pierce,57.275436,189.9445
GA Pike,30.38072,190.5407
GA Polk,53.37873,195.59137
GA Pulaski,78.876045,168.31226
GA Putnam,94.83054,147.71664
GA Quitman,119.74677,152.99394
GA Rabun,41.554058,200.39334
GA Randolph,308.14975,15.996778
GA Richmond,161.82538,91.73818
GA Rockdale,143.06172,91.52888
GA Schley,63.83921,176.94452
GA Screven,96.64767,159.14752
GA Seminole,91.2567,163.77824
GA Spalding,96.659134,154.36658
GA Stephens,57.67315,195.1857
GA Stewart,189.44414,84.09097
GA Sumter,211.67703,67.03533
GA Talbot,130.48563,124.68157
GA Taliaferro,92.52199,167.65134
GA Tattnall,81.74237,169.38141
GA Taylor,86.45852,168.2253
GA Telfair,107.35568,142.98087
GA Terrell,285.45883,28.15138
GA Thomas,133.90056,121.61631
GA Tift,126.4715,132.91644
GA Toombs,98.14237,161.18619
GA Towns,27.059977,208.30824
GA Treutlen,80.234436,175.31529
GA Troup,122.15608,131.72409
GA Turner,193.4578,97.91619
GA Twiggs,76.69044,172.84006
GA Union,26.524677,205.20891
GA Upson,145.57912,120.423225
GA Walker,29.192522,209.35503
GA Walton,54.70515,174.15755
GA Ware,100.2872,160.96617
GA Warren,115.802505,145.36673
GA Washington,100.476395,150.85565
GA Wayne,68.99385,184.98747
GA Webster,113.97213,140.28824
GA Wheeler,73.08901,173.49063
GA White,30.140148,197.70503
GA Whitfield,115.74867,129.85094
