Name,S1,S2,S3,Cluster
AK Ketchikan Gateway,0.8839981263980197,0.009703757665133565,2.148900210288359e-17,A
AK Wrangell,0.8278064163948989,0.00864734036289048,2.148900210288359e-17,A
AK Aleutians East,0.8629679690112597,5.5199359982054746e-8,2.148900210288359e-17,A
AK Dillingham,0.8637149507928262,1.8402110415994745e-17,2.148900210288359e-17,A
AK Aleutians West,0.81031168677039,5.788535474105924e-6,2.148900210288359e-17,A
AK Lake and Peninsula,0.7964659165719282,0.016567095168353974,2.148900210288359e-17,A
AK Bristol Bay,0.7881441994248253,1.8402110415994745e-17,2.148900210288359e-17,A
AK Bethel,0.8190358185006249,0.005942225962036195,2.148900210288359e-17,A
AK Kusilvak,0.8192327738151516,1.269733339727475e-7,2.148900210288359e-17,A
AK Nome,0.8747218905966755,0.004985505867481158,2.148900210288359e-17,A
AK Northwest Arctic,0.85128109586248,0.011347819277630785,2.148900210288359e-17,A
AK North Slope,0.8592304811779026,0.00256055697455838,2.148900210288359e-17,A
AZ Apache,0.266685120882873,0.15848220341812302,0.2166248318981717,C
AZ Cochise,0.6738583154628881,0.04722723258843465,0.02444981720290133,B
AZ Coconino,0.5247113539086796,0.056834233768913195,0.12484973466516514,C
AZ Gila,0.6766185490112125,0.06538726904025685,0.038584492633165185,B
AZ Graham,0.6632468698350898,0.058527046683083846,0.01591966892382037,B
AZ Greenlee,0.7773783530766778,0.01693402818721245,0.029179489496720175,A
AZ La Paz,0.5363823640206882,0.09279260693344413,0.05898842370558363,B
AZ Maricopa,0.5357305391512032,0.0930513338122229,0.03306536969717053,B
AZ Mohave,0.6871101964983266,0.04422931808617724,0.08451452681686586,C
AZ Navajo,0.2724361366147162,0.1599117148454723,0.20232245572026056,C
AZ Pima,0.6210358752543134,0.05031674553710483,0.05089779844755815,B
AZ Pinal,0.58731208975373,0.059322972961883595,0.023133814913470923,B
AZ Santa Cruz,3.1641833449593115e-11,0.2294991323085089,0.09238579289046063,B
AZ Yavapai,0.7358048305174213,0.027560183119180615,0.023889367554475252,A
AZ Yuma,6.606354022500705e-6,0.2148433041765423,0.07264387083801446,B
AR Arkansas,0.7855271139896387,0.044930597427358866,2.148900210288359e-17,A
AR Ashley,0.7407328100282561,0.05312832552718338,0.017926542731193686,B
AR Baxter,0.8385776687075482,0.0023416100345390787,2.148900210288359e-17,A
AR Benton,0.6153524452611845,0.05502443347679219,0.0046995002698594825,B
AR Boone,0.7977167157503388,0.016195515433421702,2.148900210288359e-17,A
AR Bradley,0.7117846367649692,0.060415542050273906,0.03989128838548059,B
AR Calhoun,0.8848848597390587,0.0036181724108874476,2.148900210288359e-17,A
AR Carroll,0.711348197704856,0.04930665966835216,0.015806507307463333,B
AR Chicot,0.15604886430377185,0.23236609396786062,0.04092544622765695,B
AR Clark,0.7676951786567044,0.02907083614780455,2.148900210288359e-17,A
AR Clay,0.8135441801091506,0.03786881148273009,0.031434337604034815,A
AR Cleburne,0.7570400928194664,0.021746008267732164,0.05346665441079829,A
AR Cleveland,0.6865483840464494,0.058549530248963935,0.005439144135021096,B
AR Columbia,0.7782956841551357,0.03592609154610522,0.04429747578822325,A
AR Conway,0.8265580063805028,0.016275275535942584,0.030420069009072636,A
AR Craighead,0.7230262900064247,0.040941594990552964,0.0026867513025775444,A
AR Crawford,0.7653286968496239,0.03201344078335447,2.148900210288359e-17,A
AR Crittenden,0.5485448761849596,0.10055662551794944,0.048908242017592675,B
AR Cross,0.761635336179726,0.05006737207792359,0.012225320994848441,B
AR Dallas,0.805081293040592,0.04915436244748394,2.148900210288359e-17,A
AR Desha,0.6949682804663441,0.07362319401277063,1.1098064731202712e-7,B
AR Drew,0.750072017733691,0.037247099766502624,0.0183821852613612,A
AR Faulkner,0.7095908315503366,0.02662139963608842,0.00329772904070545,A
AR Franklin,0.8207427104398228,0.023703508888567537,0.0007392849309106856,A
AR Fulton,0.8695646019519679,0.005914599404543954,2.148900210288359e-17,A
AR Garland,0.7680581773241738,0.0390654338094113,0.0031012592260442106,A
AR Grant,0.7924668059526239,0.022857806146013633,2.148900210288359e-17,A
AR Greene,0.7972073877783292,0.027524731111391285,2.148900210288359e-17,A
AR Hempstead,0.7899422344175917,0.03386333127021072,0.013106574890394221,A
AR Hot Spring,0.4088925495225026,0.17085102167308744,2.148900210288359e-17,B
AR Howard,0.6414833951657154,0.09382265505513791,0.0033022661790648718,B
AR Independence,0.754081462955677,0.038790171253045,2.148900210288359e-17,A
AR Izard,0.8978535010167583,0.008809354052544115,0.014816673769079186,A
AR Jackson,0.8752413240175074,0.023190121013947764,0.0005750182958371373,A
AR Jefferson,0.5854197201514927,0.07992626525598383,0.0969942728051397,B
AR Johnson,0.623202027624384,0.07587885600573112,2.148900210288359e-17,B
AR Lafayette,0.8428266870487702,0.01928847513887834,0.06480986821190181,C
AR Lawrence,0.7608116673318964,0.02540388972189248,0.13779789556216976,C
AR Lee,2.621629383253723e-16,0.5178827930205271,0.030932317565253244,B
