Name,S1,S2,S3,S4
CO Prowers,1.0788529e-14,57.015938,38.49277,130.20428
CO Pueblo,4.5329146,56.423275,75.91099,91.031746
CO Rio Blanco,1.0788529e-14,0.5191981,85.72218,118.397964
CO Rio Grande,3.236396,77.045906,42.74525,105.02434
CO Routt,10.290447,0.00027338482,149.6082,33.11328
CO Saguache,14.855274,87.739365,43.966606,82.88796
CO San Juan,1.0788529e-14,14.627654,104.01211,95.45218
CO San Miguel,1.0788529e-14,14.181954,142.34879,31.680864
CO Sedgwick,3.7308211,20.323782,45.933365,157.86389
CO Summit,4.931603,26.022047,159.90411,1.6447634
CO Teller,3.7285125,1.940496e-14,100.247635,104.20106
CO Washington,3.0305219,12.194766,49.410843,154.75262
CO Weld,16.751947,31.801239,102.89405,60.73453
CO Yuma,1.0788529e-14,48.332367,52.349888,120.53077
CT Tolland,19.122875,21.609568,171.76358,5.9179873
CT New Haven,54.433292,36.07308,153.44554,4.2596918e-14
CT Windham,8.393959,1.940496e-14,124.82803,73.72878
CT Hartford,65.18272,1.940496e-14,157.43182,9.413587
CT Litchfield,38.40628,6.7472774e-6,151.39238,43.943893
CT Fairfield,69.85286,2.8757077e-9,171.25645,0.0004886252
CT New London,19.39846,0.0012908538,155.30473,37.806633
CT Middlesex,44.166237,1.940496e-14,138.7206,49.730206
DE New Castle,23.874966,45.787514,113.87774,57.183628
DE Kent,26.714512,27.996172,119.20495,56.315628
DE Sussex,41.13561,12.810139,91.89736,95.667175
DC DC,34.265034,78.39561,135.72958,3.9694237e-14
FL Alachua,2.2890415,70.97124,121.61862,22.784517
FL Baker,8.263165,57.49896,15.408012,164.20607
FL Bay,5.294722,54.15025,59.7245,120.19081
FL Bradford,5.5116286,67.825005,16.4166,158.82394
FL Brevard,4.0004272,33.29741,96.6333,93.3662
FL Broward,12.845676,102.44982,126.007965,3.9694237e-14
FL Calhoun,19.025274,68.60496,11.37356,153.97888
FL Charlotte,16.449799,7.2163763,76.62261,130.28618
FL Citrus,6.2243657,20.193047,46.026604,165.71652
FL Clay,8.805438,29.554296,73.91027,113.98191
FL Collier,10.07506,56.00198,115.98395,43.261536
FL Columbia,10.57479,70.944046,20.681557,150.19452
FL Desoto,15.149185,122.03043,20.612795,90.623085
FL Dixie,8.469105,68.476616,9.91986,173.47646
FL Duval,5.044234,88.68677,95.1149,53.20887
FL Escambia,12.80364,64.545,72.62578,86.68199
FL Flagler,2.8315058,22.498213,79.07194,116.63231
FL Franklin,2.9942334,72.63276,25.039515,145.93817
FL Gadsden,13.131772,160.29413,20.293968,69.14934
FL Gilchrist,5.861932,51.543427,19.068264,164.61023
FL Glades,9.578856,101.34245,16.759169,117.57513
FL Gulf,13.728662,58.7216,21.281523,151.9449
FL Hamilton,19.541327,114.7717,10.684803,121.16211
FL Hardee,5.3289347,135.20308,13.954934,90.62289
FL Hendry,25.91439,170.12637,25.712738,40.1186
FL Hernando,4.4850774,29.481323,49.639267,150.51389
FL Highlands,7.6997304,58.828568,36.96965,134.82399
FL Hillsborough,5.512321,94.617004,110.890434,22.820665
FL Holmes,2.4786139,60.682404,8.57023,179.57489
FL Indian River,9.6557045,24.192667,85.516945,108.92993
FL Jackson,25.152544,77.201355,15.933053,139.12067
FL Jefferson,16.189356,83.723045,27.946627,115.481995
FL Lafayette,21.483656,112.753174,9.91932,128.54877
FL Lake,4.444898,43.151043,75.53672,107.03068
FL Lee,11.277724,55.626934,99.214195,65.57874
FL Leon,1.7517649,73.78187,125.50673,20.294065
FL Levy,1.5561582,60.810593,20.331041,159.26874
FL Liberty,39.411575,73.13418,16.21134,134.31985
FL Madison,21.03582,104.93302,15.790089,120.76182
FL Manatee,16.565752,39.37107,97.35795,79.41423
FL Marion,5.156262,54.55618,54.15287,123.27946
FL Martin,16.71206,16.800243,105.29053,91.68345
FL Miami-Dade,19.230473,138.65149,94.70411,3.9694237e-14
FL Monroe,4.231187,66.533806,115.82614,44.189697
FL Nassau,4.2607207,15.12618,65.84255,142.70572
FL Okaloosa,4.6921687,33.58807,86.5051,101.646835
FL Okeechobee,1.3294358,110.13746,16.157557,121.571754
FL Orange,3.3164995,109.92201,115.24437,6.2620554
FL Osceola,4.1794314,123.027954,77.55277,28.98835
FL Palm Beach,17.76221,69.428925,140.5727,8.295731
FL Pasco,3.8333278,44.982517,81.75279,103.37715
FL Pinellas,13.223726,45.2837,116.25782,64.13214
FL Polk,8.4425335,89.89764,61.991676,80.07698
FL Putnam,7.812341,78.77801,17.447802,144.88177
FL Santa Rosa,8.257088,5.5770736,91.86997,100.561485
FL Sarasota,10.655548,35.65666,99.15935,89.421425
FL Seminole,6.187947,33.72743,95.614044,86.558784
FL St. Johns,3.976086,9.584594,115.463455,89.330986
FL St. Lucie,12.947008,49.818592,105.245834,51.796524
FL Sumter,10.048966,6.9989033,73.789024,128.52614
FL Suwannee,33.1785,65.93682,18.745861,147.29428
FL Taylor,3.998522,93.32041,13.358594,145.22786
FL Union,7.869871,89.84872,9.224723,146.35007
FL Volusia,6.5372586,43.789406,85.661934,98.84525
FL Wakulla,3.2484157,56.969296,30.23863,144.06273
FL Walton,7.709431,30.716616,59.667576,136.79222
FL Washington,20.538853,53.841866,11.310518,168.74316
GA Appling,48.473434,71.67526,2.5319026e-14,153.11835
GA Atkinson,22.127434,111.710205,2.5319026e-14,127.48328
GA Bacon,30.15499,66.745674,2.5319026e-14,169.05217
GA Baker,56.22673,63.032284,1.7707957e-7,138.6274
GA Baldwin,47.04305,74.87345,27.59294,106.60311
GA Banks,10.337823,42.624653,3.4723184e-9,186.0225
GA Barrow,17.220594,44.459003,37.217964,133.174
GA Bartow,24.806332,33.50119,35.34292,146.39389
GA Ben Hill,18.121119,93.79311,2.5319026e-14,144.07591
GA Berrien,7.92635,60.060104,2.5319026e-14,177.17229
GA Bibb,21.689207,129.70352,33.89839,75.67151
GA Bleckley,24.962412,48.228565,0.068159215,174.0526
GA Brantley,13.797958,28.306871,2.5319026e-14,201.16037
GA Brooks,48.85494,74.13156,0.5649103,133.79515
GA Bryan,9.190469,50.358925,55.41324,112.0136
GA Bulloch,6.0529575,76.91702,52.630634,98.78273
GA Burke,21.685286,102.23125,4.2293985e-14,131.91364
GA Butts,73.60711,34.84491,7.8833075,148.62828
GA Calhoun,61.426064,140.73274,2.5319026e-14,75.01869
GA Camden,4.236739,41.46084,50.319992,127.741234
GA Candler,18.219748,98.38123,2.5319026e-14,143.60399
GA Carroll,20.568354,50.4438,39.52509,133.37187
GA Catoosa,10.7405205,0.0012582431,38.65644,172.64517
GA Charlton,15.78108,93.62134,2.5319026e-14,141.39299
