Name,S1,S2,S3,S4,Cluster
MS Choctaw,0.1183867,0.1741127,2.8923451e-16,0.74726874,B
MS Claiborne,0.34251302,0.6839857,1.3036182e-16,0.2590469,C
MS Clarke,0.31349057,0.18437201,5.372481e-5,0.6642546,B
MS Clay,0.13553095,0.41382065,0.00032604425,0.52221656,C
MS Coahoma,0.11867308,0.74453735,1.3036182e-16,0.29713908,C
MS Copiah,0.16764806,0.44666618,1.3036182e-16,0.5050898,C
MS Covington,0.12805936,0.2942395,1.3036182e-16,0.69078994,B
MS DeSoto,0.036931068,0.16566326,0.27046528,0.5061966,A
MS Forrest,0.1408886,0.36808744,0.13320905,0.47233924,C
MS Franklin,0.08714344,0.21942078,1.3036182e-16,0.73331034,B
MS George,0.05014398,0.1630535,1.3036182e-16,0.82565933,B
MS Greene,0.13528077,0.21208175,1.3036182e-16,0.6966161,B
MS Grenada,0.20856532,0.32411426,1.3036182e-16,0.61677766,C
MS Hancock,0.06979978,0.07227245,0.086637445,0.7866176,B
MS Harrison,0.015833955,0.32999516,0.1756528,0.5135426,C
MS Hinds,0.06846211,0.6109788,0.18290907,0.23837763,C
MS Holmes,0.583532,0.57954156,1.3036182e-16,0.23328188,C
MS Humphreys,0.30362147,0.6280673,1.3036182e-16,0.30685073,C
MS Issaquena,0.28095007,0.53035754,1.3036182e-16,0.45911026,C
MS Itawamba,0.123212785,0.040953245,0.0045587663,0.8666607,B
MS Jackson,0.049382668,0.2020033,0.16347264,0.6093865,B
MS Jasper,0.11705612,0.40235966,1.3036182e-16,0.555565,C
MS Jeff Davis,0.1035921,0.61262745,1.3036182e-16,0.42075625,C
MS Jefferson,0.16371289,0.4967203,1.3036182e-16,0.46676707,C
MS Jones,0.17882392,0.26367104,1.299611e-11,0.6762073,B
MS Kemper,0.35354927,0.43631384,1.3036182e-16,0.41377038,C
MS Lafayette,0.054640166,0.24960977,0.30354822,0.39855602,C
MS Lamar,0.05756824,0.121501856,0.21716878,0.59837264,B
MS Lauderdale,0.25911823,0.30486107,0.05798796,0.5356881,C
MS Lawrence,0.100664735,0.25367638,1.3036182e-16,0.6968861,B
MS Leake,0.235735,0.45504218,1.3036182e-16,0.5032583,C
MS Lee,0.06886966,0.22353978,0.10132397,0.64611393,B
MS Leflore,0.407975,0.58007705,1.3036182e-16,0.309021,C
MS Lincoln,0.24764365,0.17885946,9.0008867e-10,0.70598984,B
MS Lowndes,0.088863365,0.3419607,0.1112718,0.5048975,C
MS Madison,0.12138649,0.16520613,0.38459215,0.3731014,A
MS Marion,0.16549736,0.26817998,1.3036182e-16,0.7040814,B
MS Marshall,0.041226603,0.38362297,1.3036182e-16,0.59112597,C
MS Monroe,0.26363245,0.11630561,0.038969893,0.69212246,B
MS Montgomery,0.17940645,0.31439978,1.3036182e-16,0.6544587,B
MS Neshoba,0.4591918,0.3007087,1.3036182e-16,0.54867345,C
MS Newton,0.12382812,0.29706365,1.3036182e-16,0.6816851,B
MS Noxubee,0.2667125,0.6546877,1.3036182e-16,0.2851343,C
MS Oktibbeha,0.122968264,0.3383354,0.27959728,0.29238382,C
MS Panola,0.07238483,0.45801973,1.3036182e-16,0.53874636,C
MS Pearl River,0.13645706,0.093880214,0.025439397,0.80546224,B
MS Perry,0.11285035,0.16852976,1.3036182e-16,0.79697156,B
MS Pike,0.15084144,0.47874275,1.3036182e-16,0.4889554,C
MS Pontotoc,0.040288318,0.31869242,1.3036182e-16,0.6828378,B
MS Prentiss,0.06565245,0.14168647,1.3036182e-16,0.8312873,B
MS Quitman,0.07062305,0.6556314,1.3036182e-16,0.41995737,C
MS Rankin,0.047091287,0.10387946,0.27703983,0.55769765,A
MS Scott,0.179016,0.57122225,1.3036182e-16,0.42948267,C
MS Sharkey,0.14163285,0.6626175,1.3036182e-16,0.3607771,C
MS Simpson,0.14171317,0.32747304,1.3036182e-16,0.6408076,B
MS Smith,0.20581262,0.080948524,1.3036182e-16,0.78901535,B
MS Stone,0.03512087,0.2283911,1.3036182e-16,0.7449802,B
MS Sunflower,0.15332273,0.7159528,1.3036182e-16,0.30607188,C
