CA San Bernardino,0.10218441,0.5414783,0.32937852,C
CA San Diego,0.2959688,0.5720651,0.047423005,C
CA San Francisco,0.106738254,0.84004754,1.61315e-16,C
CA San Joaquin,0.108802885,0.55079895,0.3292754,C
CA San Luis Obispo,0.42023185,0.4980237,0.00050777633,C
CA San Mateo,0.15749416,0.74656826,1.61315e-16,C
CA Santa Barbara,0.18053961,0.6594211,0.05958926,C
CA Santa Clara,0.18742791,0.71687067,1.61315e-16,C
CA Santa Cruz,0.19618791,0.71706414,1.8385453e-9,C
CA Shasta,0.52149117,0.23597665,0.29092,A
CA Sierra,0.5317697,0.27395964,0.24330758,A
CA Siskiyou,0.42040738,0.32373056,0.3032464,C
CA Solano,0.21059513,0.5724507,0.14725891,C
CA Sonoma,0.28230697,0.6038456,3.041594e-11,C
CA Stanislaus,0.20295724,0.46491072,0.3317906,C
CA Sutter,0.3099799,0.38245684,0.2953049,C
CA Tehama,0.43881807,0.22251053,0.38455552,A
CA Trinity,0.41571808,0.3046064,0.3514457,C
CA Tulare,0.110278495,0.42106366,0.49304485,B
CA Tuolumne,0.5733087,0.2623753,0.1797652,A
CA Ventura,0.33347118,0.5576924,0.022399852,C
CA Yolo,0.16085736,0.67946917,0.05589916,C
CA Yuba,0.2966775,0.33887896,0.36487976,C
CO Adams,0.2547228,0.52939045,0.14318855,C
CO Alamosa,0.22275868,0.45044443,0.34045956,C
CO Arapahoe,0.3955719,0.5294695,5.9204095e-9,C
CO Archuleta,0.5588049,0.31230685,0.13201192,C
CO Baca,0.69829315,0.090665095,0.3077675,A
CO Bent,0.35837105,0.19008254,0.46449172,B
CO Boulder,0.26164654,0.62479216,1.61315e-16,C
CO Broomfield,0.406618,0.5167647,1.61315e-16,C
CO Chaffee,0.5410121,0.3461477,0.064693525,C
CO Cheyenne,0.80365443,0.071438074,0.2370618,A
CO Clear Creek,0.5298937,0.42436954,1.4691205e-8,C
CO Conejos,0.3128312,0.35255858,0.36458594,C
CO Costilla,0.09978535,0.45288458,0.54631674,B
CO Crowley,0.3796533,0.124353066,0.5378513,B
CO Custer,0.66502404,0.20952955,0.18124408,A
CO Delta,0.60758305,0.16681994,0.2575635,A
CO Denver,0.14126875,0.7172611,0.09226236,C
CO Dolores,0.6709833,0.15358464,0.24696815,A
CO Douglas,0.58300525,0.3559317,1.61315e-16,C
CO Eagle,0.34887922,0.5591338,1.61315e-16,C
CO El Paso,0.4859525,0.36782876,0.097967364,C
CO Elbert,0.8293627,0.17204094,0.00080064277,A
CO Fremont,0.5688405,0.15335673,0.28834674,A
CO Garfield,0.4345971,0.42605796,0.069652006,C
CO Gilpin,0.5772152,0.3610429,0.016196722,C
CO Grand,0.60695964,0.36062756,0.0018919741,C
CO Gunnison,0.387639,0.53496253,0.0017486509,C
CO Hinsdale,0.70287937,0.25584784,0.093700185,A
CO Huerfano,0.32071206,0.41318184,0.34639886,C
CO Jackson,0.6400508,0.19738285,0.22660384,A
CO Jefferson,0.5078292,0.4185529,1.61315e-16,C
CO Kiowa,0.90225524,3.0203805e-16,0.25848433,A
CO Kit Carson,0.63144106,0.103577666,0.30203485,A
CO La Plata,0.43692183,0.4916228,9.746235e-9,C
CO Lake,0.3026047,0.47869498,0.16053292,C
CO Larimer,0.44857192,0.45543328,1.61315e-16,C
CO Las Animas,0.3695962,0.349985,0.31952634,C
CO Lincoln,0.5577606,0.14642161,0.29594073,A
CO Logan,0.6141257,0.1598878,0.23917995,A
CO Mesa,0.5701195,0.24592018,0.18630315,A
CO Mineral,0.6352458,0.33376735,0.09132753,A
CO Moffat,0.6573019,0.10233799,0.25280395,A
CO Montezuma,0.5254146,0.22274755,0.29064134,A
CO Montrose,0.5879338,0.1921664,0.22880368,A
CO Morgan,0.45556748,0.26666692,0.2727574,A
CO Otero,0.38855922,0.27550787,0.413296,B
CO Ouray,0.4820729,0.47773215,9.25838e-7,C
CO Park,0.6898554,0.25915235,0.02242624,A
CO Phillips,0.7509834,0.13344152,0.18101983,A
CO Pitkin,0.35185024,0.6013902,1.61315e-16,C
CO Prowers,0.44843376,0.23729736,0.3495003,A
CO Pueblo,0.27965316,0.41548765,0.33410114,C
CO Rio Blanco,0.77079,0.13033786,0.12162818,A
CO Rio Grande,0.4258022,0.29435644,0.328916,C
CO Routt,0.46453026,0.46902335,1.61315e-16,C
CO Saguache,0.19435537,0.4197849,0.41731682,C
CO San Juan,0.3775191,0.43763962,0.18269874,C
CO San Miguel,0.38394836,0.55024546,2.8531772e-6,C
CO Sedgwick,0.685947,0.13997486,0.254129,A
CO Summit,0.37476185,0.55527884,1.61315e-16,C
CO Teller,0.76268464,0.19836017,0.058898404,A
