Name,S1,S2,S3,S4,S5,Cluster
AK Bristol Bay,1.8195921493723328e-17,2.6928226811992967e-17,1.3907056757299883e-17,1.0618836698677245e-17,0.8101268131446685,A
AK Bethel,1.8195921493723328e-17,0.022404582578802557,1.3907056757299883e-17,0.002217848010533533,0.8101330239211719,A
AK Kusilvak,1.8195921493723328e-17,2.6928226811992967e-17,1.3907056757299883e-17,0.0010782427578811882,0.8304550011087534,A
AK Nome,1.8195921493723328e-17,2.6928226811992967e-17,1.3907056757299883e-17,0.006850256711774895,0.8687025103732605,A
AK Northwest Arctic,1.8195921493723328e-17,2.6928226811992967e-17,1.3907056757299883e-17,0.01286653112838954,0.8451742642865382,A
AK North Slope,1.8195921493723328e-17,2.6928226811992967e-17,1.3907056757299883e-17,0.004380340643054005,0.8558355856025901,A
AZ Apache,0.2356632369910082,0.26271194955103927,1.3907056757299883e-17,0.08698203060692392,0.23111621958992304,B
AZ Cochise,0.010251700910077127,0.13493886317341672,1.3907056757299883e-17,0.017087883153285244,0.6462480752735555,C
AZ Coconino,0.163857858261213,0.013666712513904548,1.3907056757299883e-17,0.04555561537410564,0.5449829684848707,B
AZ Gila,0.011234169078266167,0.2258266992178381,1.3907056757299883e-17,0.015426952019205287,0.6121572221675112,C
AZ Graham,0.007032099962841979,0.15081516249564866,1.3907056757299883e-17,0.01798383204233168,0.6358941659691322,C
AZ Greenlee,0.01764388334206536,0.09251233740829967,1.3907056757299883e-17,0.00490438037548504,0.685458490720449,C
AZ La Paz,0.05320328812439177,0.1585732714029664,1.3907056757299883e-17,0.054289388965483173,0.5072800321046693,C
AZ Maricopa,0.03934996464924406,0.1048283793980636,1.3907056757299883e-17,0.05944124541236883,0.5579385749706771,D
AZ Mohave,0.07429855233126115,0.1563227498574687,1.3907056757299883e-17,0.013183690544804293,0.6317100035049559,C
AZ Navajo,0.2322328467792742,0.2180683707449577,1.3907056757299883e-17,0.0940905099171292,0.2627511911954492,B
AZ Pima,0.06442581489617899,0.0470270184455132,1.3907056757299883e-17,0.034543875063329205,0.6383480530413594,B
AZ Pinal,0.028199586179693346,0.06329346057379007,1.3907056757299883e-17,0.03938242313801541,0.6113467857694602,D
AZ Santa Cruz,0.0861175375435114,0.29005069352881824,1.3907056757299883e-17,0.13917792144199637,0.14074968909775248,D
AZ Yavapai,0.010593145383067262,0.10682940389329042,1.3907056757299883e-17,0.008418761463252296,0.6823719782899531,C
AZ Yuma,0.060117884428053665,0.321804969331294,1.3907056757299883e-17,0.10864716443470297,0.2061993061960081,C
AR Arkansas,1.8195921493723328e-17,0.07241584149369343,1.3907056757299883e-17,0.025285743094534043,0.7718283476973081,A
AR Ashley,0.008746370397053798,0.12662357615202216,1.3907056757299883e-17,0.023738071184541746,0.6930982498750153,C
AR Baxter,1.8195921493723328e-17,2.6928226811992967e-17,1.3907056757299883e-17,0.004064265365062155,0.8366839154843969,A
AR Benton,0.008513796568176989,0.03644143343954894,1.3907056757299883e-17,0.04270796277930976,0.6526742862975503,D
AR Boone,1.8195921493723328e-17,0.032932879199975014,1.3907056757299883e-17,0.008799567261098784,0.7959308977347027,A
AR Bradley,0.03799569350715374,0.11140220713366729,1.3907056757299883e-17,0.033557753482133,0.6842964235376525,C
AR Calhoun,1.8195921493723328e-17,2.6928226811992967e-17,1.3907056757299883e-17,0.006121572646384704,0.8730973993319102,A
AR Carroll,0.007163901715097454,0.10955060767837493,1.3907056757299883e-17,0.02512564740567582,0.6676297673959259,C
AR Chicot,0.026399115171054074,0.33738748190026985,1.3907056757299883e-17,0.1236730747836869,0.2994363188228676,C
AR Clark,1.8195921493723328e-17,0.03406666342405045,1.3907056757299883e-17,0.020633776000291718,0.77713693630721,A
AR Clay,1.8195921493723328e-17,0.19127319724491723,1.3907056757299883e-17,0.008537213886973025,0.6608217662948909,C
AR Cleburne,0.05664150511128886,0.055431535673440294,1.3907056757299883e-17,0.01353480882570259,0.7160409093151102,A
AR Cleveland,1.8195921493723328e-17,0.14380817736209267,1.3907056757299883e-17,0.01921567956537522,0.6452624330546375,C
AR Columbia,0.026601236443923943,0.16565655457419318,1.3907056757299883e-17,0.0037834342738221824,0.6839793025904197,C
AR Conway,0.029918405919775723,0.05062393217480608,1.3907056757299883e-17,0.009641380427095052,0.7817166601839747,A
AR Craighead,0.0033523107975241793,0.04190109619623925,1.3907056757299883e-17,0.02935615414361807,0.7444997199043938,A
AR Crawford,1.8195921493723328e-17,0.04528347703816774,1.3907056757299883e-17,0.019966025261493124,0.7751426551343491,A
AR Crittenden,0.06266315937968764,0.09198797023635878,1.3907056757299883e-17,0.06746549667296729,0.5969116935971153,D
AR Cross,0.008843405496527125,0.0976864605654044,1.3907056757299883e-17,0.026228753037056546,0.720721743427874,C
AR Dallas,1.8195921493723328e-17,0.1327292146765147,1.3907056757299883e-17,0.014151251042845528,0.7450515592883917,C
AR Desha,1.8195921493723328e-17,0.1519772744709258,1.3907056757299883e-17,0.0275420820242392,0.6594147361144751,C
AR Drew,0.01668871757624062,0.07232840714189452,1.3907056757299883e-17,0.020440045933571738,0.732846731321381,A
AR Faulkner,0.006188371331835327,0.0074823160160468714,1.3907056757299883e-17,0.02491864644403498,0.7444590728269644,A
AR Franklin,1.8195921493723328e-17,0.05981836237879186,1.3907056757299883e-17,0.009764964996086515,0.7857041902409657,A
AR Fulton,1.8195921493723328e-17,2.6928226811992967e-17,1.3907056757299883e-17,0.007459046666326745,0.8684469083865488,A
AR Garland,0.0028343446550958052,0.06507990498728022,1.3907056757299883e-17,0.020012230378753354,0.7821610148280295,A
AR Grant,1.8195921493723328e-17,0.02416370207410236,1.3907056757299883e-17,0.018299019497865717,0.7902897470989289,A
AR Greene,1.8195921493723328e-17,0.0287054384707409,1.3907056757299883e-17,0.02095782673448419,0.8140014138039738,A
AR Hempstead,0.01377275532718219,0.048178399479668385,1.3907056757299883e-17,0.023236082814792103,0.7823270621239812,A
AR Hot Spring,1.8195921493723328e-17,0.1595752138502183,1.3907056757299883e-17,0.11932886559422204,0.46198012481257233,D
AR Howard,1.8195921493723328e-17,0.15099506124766454,1.3907056757299883e-17,0.04960578581368464,0.6085590498175235,C
AR Independence,1.8195921493723328e-17,0.04812594866508743,1.3907056757299883e-17,0.026385491415453793,0.7570771611464029,A
AR Izard,0.013647132865816994,0.03949816554532753,1.3907056757299883e-17,0.00637841691325723,0.8274573356159945,A
AR Jackson,1.8195921493723328e-17,0.0551061721436747,1.3907056757299883e-17,0.011378738037377724,0.8358019111951225,A
AR Jefferson,0.11494117105142114,0.08894475156045697,1.3907056757299883e-17,0.05356931882542533,0.5911327082583908,B
AR Johnson,1.8195921493723328e-17,0.05036256433231627,1.3907056757299883e-17,0.06129969889394998,0.6502749589631351,D
AR Lafayette,0.05247687817925962,0.12410093150346198,1.3907056757299883e-17,0.003513527336046898,0.7153944426720042,C
AR Lawrence,0.13125488607221494,0.1502294626465222,1.3907056757299883e-17,0.006349229599952111,0.6211363370868541,B
AR Lee,0.05156693294895089,0.2851227867556586,1.3907056757299883e-17,0.42604568308271396,2.135631481292532e-16,D
AR Lincoln,0.27466027253186565,0.13450564254142328,1.3907056757299883e-17,0.4479195418449078,2.135631481292532e-16,D
AR Little River,1.8195921493723328e-17,0.34404465462918327,1.3907056757299883e-17,0.012073610301591778,0.5095533867489989,C
AR Logan,1.8195921493723328e-17,0.02339034302292703,1.3907056757299883e-17,0.024720003042985553,0.82417978068545,A
AR Lonoke,1.8195921493723328e-17,0.020055743499929682,1.3907056757299883e-17,0.014969167823556343,0.7721765615056813,A
AR Madison,1.8195921493723328e-17,0.05715710950067239,1.3907056757299883e-17,0.048084424508624456,0.6727437302797786,D
AR Marion,1.8195921493723328e-17,2.6928226811992967e-17,1.3907056757299883e-17,0.002864148660432047,0.8772184508052803,A
AR Miller,0.00990166474206176,0.0388781263666382,1.3907056757299883e-17,0.026387435561159085,0.7748150477855787,A
AR Mississippi,0.006735531285709994,0.14802044462844474,1.3907056757299883e-17,0.04280601552349128,0.6544248205523672,C
AR Monroe,1.8195921493723328e-17,2.6928226811992967e-17,1.3907056757299883e-17,0.025764932435951,0.8759917847127789,A
AR Montgomery,1.8195921493723328e-17,0.10889320671854233,1.3907056757299883e-17,0.0026406496517946323,0.7611247844709152,C
AR Nevada,0.03914440812742309,0.4543709178842985,1.3907056757299883e-17,0.03428570930497652,0.3271179364878236,C
AR Newton,1.8195921493723328e-17,0.45100034455958216,1.3907056757299883e-17,0.002974003642991289,0.4134366565240061,C
AR Ouachita,1.8195921493723328e-17,0.05426641614726954,1.3907056757299883e-17,0.00565468867853099,0.8333444162832075,A
AR Perry,1.8195921493723328e-17,0.03130979783174292,1.3907056757299883e-17,0.010443877238332481,0.7994544789872488,A
AR Phillips,0.020622930288051983,0.16090537771072957,1.3907056757299883e-17,0.0280011895653374,0.662038627909626,C
AR Pike,1.8195921493723328e-17,0.059361313429698255,1.3907056757299883e-17,0.018689106496905,0.7867503136371148,A
AR Poinsett,0.028545693408966483,0.07596400867525348,1.3907056757299883e-17,0.022263776217464275,0.7881622755429433,A
AR Polk,1.8195921493723328e-17,0.03907195082033016,1.3907056757299883e-17,0.019600556252342805,0.8011933923981508,A
AR Pope,0.004786451913916453,0.058241179818202246,1.3907056757299883e-17,0.049740711686956506,0.6738288529027842,D
AR Prairie,1.8195921493723328e-17,2.6928226811992967e-17,1.3907056757299883e-17,0.02735554422246723,0.8150422551214601,A
AR Pulaski,0.03084739074863939,0.022554678411112628,1.3907056757299883e-17,0.03307325208715956,0.7366906591517678,A
AR Randolph,1.8195921493723328e-17,0.21065245324229712,1.3907056757299883e-17,0.011964472831557691,0.6258331073386847,C
AR Saline,0.00327520590734669,0.01819799068004785,1.3907056757299883e-17,0.0209356055549947,0.8233845560937966,A
AR Scott,1.8195921493723328e-17,2.6928226811992967e-17,1.3907056757299883e-17,0.012475832167977919,0.8279487812268173,A
AR Searcy,1.8195921493723328e-17,2.6928226811992967e-17,1.3907056757299883e-17,0.021307796680077134,0.8625928134458186,A
AR Sebastian,0.00215700683831996,0.06861356748325234,1.3907056757299883e-17,0.03158747396904788,0.7274347565762537,A
AR Sevier,0.07341163380040779,0.15180474288863766,1.3907056757299883e-17,0.1618639716944822,0.2929535610522917,D
AR Sharp,0.03638178011468687,0.081270644112243,1.3907056757299883e-17,0.010163726015820974,0.7516238977900184,A
AR St Francis,0.02302842794522528,0.0484557782433747,1.3907056757299883e-17,0.16941089671256157,0.4373349746916266,D
AR Stone,1.8195921493723328e-17,0.08818731386451283,1.3907056757299883e-17,0.01448443878672986,0.7513313413767884,A
AR Union,0.059032554251998735,0.09065786318390796,1.3907056757299883e-17,0.022538411746955204,0.7169018947533221,C
AR Van Buren,0.03552767174514218,0.02769642980771931,1.3907056757299883e-17,0.00880108737729327,0.8145571563301183,A
AR Washington,0.01601700098908626,0.05018386840660437,1.3907056757299883e-17,0.06853553890473224,0.5826401542666515,D
AR White,0.0033963098866636268,0.03434920280744114,1.3907056757299883e-17,0.006594975036789972,0.8023035049896277,A
AR Woodruff,1.8195921493723328e-17,2.6928226811992967e-17,1.3907056757299883e-17,0.00908987648657763,0.8825373617395141,A
AR Yell,0.027414791371616076,0.34862124160075303,1.3907056757299883e-17,0.09959860744387801,0.30443347913145535,C
CA Alameda,0.022749542369645312,0.001988177738799284,1.3907056757299883e-17,0.021854686655385352,0.6945519509946458,A
CA Alpine,1.8195921493723328e-17,2.6928226811992967e-17,1.3907056757299883e-17,0.009935922587254514,0.800925545480002,A
CA Amador,1.8195921493723328e-17,0.126814406485289,1.3907056757299883e-17,0.0011952359673810407,0.686833360771912,C
CA Butte,0.0006413486971261822,0.023056471114881398,1.3907056757299883e-17,0.01093964516604284,0.7766123200254721,A
CA Calaveras,1.8195921493723328e-17,0.018784528859662402,1.3907056757299883e-17,0.005844783986859859,0.7667466069162829,A
CA Colusa,1.8195921493723328e-17,0.11484467075345935,1.3907056757299883e-17,0.030252718299881885,0.6154731972178584,C
CA Contra Costa,0.013791093720121526,0.015086576910653921,1.3907056757299883e-17,0.021313881993252383,0.7000608840747928,A
CA Del Norte,1.8195921493723328e-17,0.012557321693580653,1.3907056757299883e-17,0.010338923775198173,0.8299071860188674,A
CA El Dorado,1.8195921493723328e-17,0.002886670805079539,1.3907056757299883e-17,0.008146202858563859,0.7261706043091858,A
CA Fresno,0.011260824005561125,0.04416304443590786,1.3907056757299883e-17,0.045044151979241394,0.6818721741905677,D
CA Glenn,1.8195921493723328e-17,0.277163110874737,1.3907056757299883e-17,0.011287112122032796,0.5296628148513278,C
CA Humboldt,0.0068360012014022885,0.004299413290262022,1.3907056757299883e-17,0.003460847406732088,0.8186278589800868,A
CA Imperial,0.09152713687278205,0.26313105753810173,1.3907056757299883e-17,0.1344617233637038,0.17329491652468515,D
CA Inyo,0.018373302877797027,0.1643992957153772,1.3907056757299883e-17,9.958604248908514e-8,0.629615536518629,C
CA Kern,0.011897997780511012,0.0572288457855954,1.3907056757299883e-17,0.06568463461683696,0.6161104500729516,D
CA Kings,0.018877879444632175,0.10250390849818718,1.3907056757299883e-17,0.08965989238341687,0.48519613807162393,D
CA Lake,1.8195921493723328e-17,0.017794988036322013,1.3907056757299883e-17,0.006447508507669743,0.8365643239755027,A
CA Lassen,1.8195921493723328e-17,2.6928226811992967e-17,1.3907056757299883e-17,0.043957419541721485,0.732886537854619,A
CA Los Angeles,0.09164657593964097,0.0016128037763131868,1.3907056757299883e-17,0.05472924652782364,0.5845999570624745,B
CA Madera,0.005551695181389527,0.08727879222027436,1.3907056757299883e-17,0.03548613389049337,0.6497447233130218,C
CA Marin,0.02488785905216236,0.06629056974384627,1.3907056757299883e-17,0.04635123508456095,0.5546101924861094,D
CA Mariposa,0.016070037564213248,0.03982471576555998,1.3907056757299883e-17,0.004029391917399088,0.7315554630615821,A
CA Mendocino,1.8195921493723328e-17,0.062352623010489765,1.3907056757299883e-17,0.005954521574917702,0.764331874939639,A
CA Merced,0.005053631615839035,0.09868882341949664,1.3907056757299883e-17,0.04353708387591682,0.6344994475907453,D
CA Modoc,1.8195921493723328e-17,2.6928226811992967e-17,1.3907056757299883e-17,1.0618836698677245e-17,0.8370147714885522,A
CA Mono,0.023590406193417294,0.0422094336978849,1.3907056757299883e-17,0.023603048780648794,0.6242513323324177,A
CA Monterey,0.00654479482581413,0.01983794443828877,1.3907056757299883e-17,0.035457764742888434,0.6705313982771575,A
CA Napa,0.007986923964317277,0.018834037069343806,1.3907056757299883e-17,0.017030134683151794,0.7305946461412328,A
CA Nevada,0.0030386806771537968,0.00967029070073248,1.3907056757299883e-17,0.0066249790562326214,0.7304277242328873,A
CA Orange,0.022663546099715277,0.03390297164345335,1.3907056757299883e-17,0.03170631487949766,0.6486787633942184,A
CA Placer,0.0073896829770083725,0.00936032629295063,1.3907056757299883e-17,0.012009882444437578,0.6841449900759933,A
CA Plumas,1.8195921493723328e-17,2.6928226811992967e-17,1.3907056757299883e-17,0.004382523479480408,0.801757569961425,A
CA Riverside,0.045561077998198724,0.029808631500120274,1.3907056757299883e-17,0.04246807206391506,0.6293830145309001,D
CA Sacramento,0.01224215763946014,0.0225013580732449,1.3907056757299883e-17,0.019079176748235012,0.7467549004442795,A
CA San Benito,0.008203661494981869,0.026285211246014795,1.3907056757299883e-17,0.030368543656513782,0.6732500267595475,A
CA San Bernardino,0.026267862542657942,0.04277747380213169,1.3907056757299883e-17,0.04096649864537403,0.666536336430093,D
CA San Diego,0.031076678263282583,0.0029750077200739263,1.3907056757299883e-17,0.024154436871260763,0.6986960517763539,A
CA San Francisco,0.016908864205938092,1.2633323826373613e-14,1.3907056757299883e-17,0.024484217271819705,0.6832744129167249,A
CA San Joaquin,0.015046565876429923,0.07940391383478823,1.3907056757299883e-17,0.038850302525923315,0.6444802199354449,D
CA San Luis Obispo,0.0015152091952053133,0.015635270443804243,1.3907056757299883e-17,0.017713490470059302,0.7046815667587019,A
CA San Mateo,0.035439337860880604,2.0400916992589584e-13,1.3907056757299883e-17,0.02141260988626529,0.6526132158248228,A
CA Santa Barbara,0.011177013810683502,0.03639030090827997,1.3907056757299883e-17,0.041025769111996194,0.6213975318197359,D
CA Santa Clara,0.024171310550631764,1.1291846245398928e-12,1.3907056757299883e-17,0.01688648102077635,0.6915373836544858,A
CA Santa Cruz,0.002811994395821654,0.0013110199745038063,1.3907056757299883e-17,0.011804856018247987,0.7421432213580859,A
CA Shasta,0.007928910474434205,0.010894961366026358,1.3907056757299883e-17,0.0024669432124639194,0.8237172871197569,A
CA Sierra,1.8195921493723328e-17,2.6928226811992967e-17,1.3907056757299883e-17,0.002825990844672853,0.7822445159701018,A
CA Siskiyou,1.8195921493723328e-17,2.6928226811992967e-17,1.3907056757299883e-17,0.00434907904210542,0.8306140565866312,A
CA Solano,0.012889904830700636,0.012927701158308526,1.3907056757299883e-17,0.02270196512667442,0.7108450430829978,A
CA Sonoma,0.00260338112419904,0.030154585448778668,1.3907056757299883e-17,0.01745912719988223,0.6931972947113978,A
CA Stanislaus,0.014316361367011664,0.096101998231813,1.3907056757299883e-17,0.04424272550677736,0.6179486454584426,D
