AR Lonoke,0.62811327,0.65312743,0.0006787062,B
AR Madison,0.45593858,0.74678236,0.00052488456,C
AR Marion,0.54940236,0.6907519,0.00032388186,B
AR Miller,0.681156,0.35524014,0.37411943,A
AR Mississippi,0.7318607,0.46165213,0.19677815,B
AR Monroe,0.66265064,0.64039314,0.00020091864,B
AR Montgomery,0.16769417,0.8898979,3.8112383e-5,C
AR Nevada,0.5184411,0.5527824,0.21439677,B
AR Newton,0.25295603,0.8377548,0.0001819341,C
AR Ouachita,0.73510164,0.6003905,0.00023126474,B
AR Perry,0.41165888,0.7639562,0.0015141221,C
AR Phillips,0.6749428,0.3505988,0.37836948,A
AR Pike,0.4038799,0.7747057,0.0013168431,C
AR Poinsett,0.65586203,0.35623786,0.38975003,A
AR Polk,0.731239,0.6043544,0.00017631867,B
AR Pope,0.7099893,0.4693854,0.19524485,B
AR Prairie,0.3684105,0.7895634,0.00024176513,C
AR Pulaski,0.7917784,0.2668326,0.42263433,A
AR Randolph,0.25020775,0.8571144,0.00050400634,C
AR Saline,0.5529248,0.40233594,0.38368765,A
AR Scott,0.5608165,0.6905284,0.00031948637,B
AR Searcy,0.56650764,0.6867462,0.000100051795,B
AR Sebastian,0.78020626,0.4438011,0.18648897,B
AR Sevier,0.4928783,0.40320474,0.44148687,A
AR Sharp,0.5020336,0.55930406,0.21905151,B
AR St Francis,0.73807895,0.44339803,0.21438299,B
AR Stone,0.45146784,0.7486579,0.000374226,C
AR Union,0.69105464,0.3272599,0.40931252,A
AR Van Buren,0.5337017,0.42558917,0.37430245,A
AR Washington,0.7509198,0.30618158,0.39010462,A
AR White,0.51673657,0.44642293,0.36213526,B
AR Woodruff,0.49488363,0.72939706,0.00018308553,B
AR Yell,0.65977937,0.35673216,0.38585863,A
CA Alameda,0.9054928,0.122577436,0.4988956,A
CA Alpine,0.22170453,0.8395711,0.00065748516,C
CA Amador,0.6255593,0.65493363,0.0011895659,B
CA Butte,0.7739333,0.45598567,0.16572127,B
CA Calaveras,0.6356491,0.6455595,0.0005916659,B
CA Colusa,0.7516859,0.59004146,0.00038939217,B
CA Contra Costa,0.8493685,0.1763787,0.47324312,A
CA Del Norte,0.80089355,0.5617593,0.00026502617,B
CA El Dorado,0.84510064,0.5284823,0.0011383302,B
CA Fresno,0.7716789,0.30010855,0.38310075,A
CA Glenn,0.61130935,0.6657303,0.00040076658,B
CA Humboldt,0.7615223,0.4419904,0.19249721,B
CA Imperial,0.69982326,0.29409692,0.4328521,A
CA Inyo,0.3546537,0.47093058,0.44934323,A
CA Kern,0.77295,0.29764536,0.38489422,A
CA Kings,0.73952544,0.31309658,0.38252917,A
CA Lake,0.81161755,0.55820256,0.00041696,B
CA Lassen,0.739263,0.59262466,0.00014347555,B
CA Los Angeles,0.86835337,0.11747283,0.5442634,A
CA Madera,0.71992946,0.33375606,0.3698768,A
CA Marin,0.66047317,0.22502479,0.5364565,A
CA Mariposa,0.57193863,0.530746,0.21009392,B
CA Mendocino,0.807212,0.5625786,0.00016942479,B
CA Merced,0.7645915,0.30722913,0.36962977,A
CA Modoc,0.718708,0.60818356,8.743107e-6,B
CA Mono,0.53623325,0.3882367,0.42195103,A
CA Monterey,0.7768266,0.28995967,0.3848006,A
CA Napa,0.7291185,0.3162216,0.38378203,A
CA Nevada,0.70779884,0.34727553,0.35260767,A
CA Orange,0.83059275,0.17501159,0.4880063,A
CA Placer,0.76938576,0.23759618,0.44502252,A
CA Plumas,0.44389835,0.7529052,0.0019190735,C
CA Riverside,0.8023765,0.18768163,0.4959206,A
CA Sacramento,0.8634529,0.18610792,0.46363723,A
CA San Benito,0.7752861,0.23859164,0.4426153,A
CA San Bernardino,0.8333276,0.18186715,0.48186886,A
CA San Diego,0.84492886,0.16561827,0.49586308,A
CA San Francisco,0.9904423,0.053855233,0.5047125,A
CA San Joaquin,0.79111236,0.26916173,0.40718257,A
CA San Luis Obispo,0.7413934,0.34858316,0.32954028,A
CA San Mateo,0.8302176,0.1433123,0.52169997,A
CA Santa Barbara,0.7511055,0.2857477,0.4068653,A
CA Santa Clara,0.849492,0.15176637,0.5014769,A
CA Santa Cruz,0.775522,0.3063796,0.35787365,A
CA Shasta,0.7407465,0.32957956,0.36074415,A
CA Sierra,0.26186728,0.8460655,6.006346e-5,C
CA Siskiyou,0.74445933,0.59713143,0.0001673399,B
CA Solano,0.790014,0.27416193,0.39877927,A
CA Sonoma,0.75861555,0.31781375,0.34974152,A
CA Stanislaus,0.7725804,0.28284734,0.40241367,A
CA Sutter,0.7228526,0.33324546,0.37124014,A
CA Tehama,0.7229832,0.47504354,0.17574257,B
CA Trinity,0.5875887,0.6745259,0.00014706304,B
CA Tulare,0.7243681,0.2911529,0.42543063,A
CA Tuolumne,0.6455858,0.64036256,0.0025609601,B
CA Ventura,0.74234855,0.29218778,0.40414536,A
CA Yolo,0.67302525,0.23759952,0.52236557,A
CA Yuba,0.75047165,0.33040202,0.35206705,A
CO Adams,0.800192,0.17759073,0.51217663,A
CO Alamosa,0.4989387,0.4141302,0.4301649,A
CO Arapahoe,0.81265426,0.15241617,0.54074514,A
CO Archuleta,0.5845316,0.6788337,0.0005320568,B
CO Baca,3.790266e-6,0.98304933,0.0003402114,C
CO Bent,0.23797561,0.8606094,0.00073392177,C
CO Boulder,0.59308916,0.3122524,0.4802079,A
CO Broomfield,0.7346321,0.16337548,0.54700977,A
CO Chaffee,0.36713308,0.44740605,0.46559927,A
CO Cheyenne,0.23118521,0.86724496,6.5291984e-5,C
CO Clear Creek,0.5696821,0.30881485,0.48546958,A
CO Conejos,0.24207887,0.8560398,6.543961e-5,C
CO Costilla,0.0008566517,0.99422467,0.0005792387,C
CO Crowley,4.944253e-7,0.6625801,0.41710845,C
CO Custer,0.34618127,0.7960523,0.00012263916,C
CO Delta,0.51331383,0.4297157,0.38873318,A
CO Denver,0.9149206,0.07360644,0.56409985,A
CO Dolores,3.7673747e-6,0.9802541,1.3041185e-5,C
CO Douglas,0.7273211,0.181265,0.51467586,A
CO Eagle,0.6871322,0.28858823,0.42871335,A
CO El Paso,0.7608655,0.26519653,0.43436232,A
CO Elbert,0.31466123,0.41488004,0.526654,A
CO Fremont,0.6110914,0.6617036,0.00063887215,B
CO Garfield,0.65935975,0.35504812,0.37936062,A
CO Gilpin,0.993515,0.4377307,5.9773094e-5,B
CO Grand,0.355774,0.79055434,0.001546605,C
CO Gunnison,0.33208793,0.4264336,0.51933604,A
CO Hinsdale,6.1919243e-9,0.96230507,2.9739813e-5,C
CO Huerfano,0.4551641,0.74923205,0.001015946,C
CO Jackson,4.6571933e-9,0.96843165,1.192525e-6,C
CO Jefferson,0.7807514,0.182083,0.5172744,A
CO Kiowa,4.9951034e-8,0.9646482,1.0504107e-6,C
CO Kit Carson,0.19964905,0.53920805,0.47100767,C
CO La Plata,0.6701148,0.49368173,0.18633604,B
CO Lake,0.4444353,0.74349344,0.0024793928,C
CO Larimer,0.6951656,0.31275538,0.40915975,A
CO Las Animas,0.4257534,0.765306,0.0015732513,C
CO Lincoln,0.5118428,0.7171574,0.00034954428,B
CO Logan,0.6424954,0.34612942,0.41229415,A
CO Mesa,0.7857954,0.5710615,0.00019872324,B
CO Mineral,9.1020835e-9,0.9558862,4.3427575e-5,C
CO Moffat,0.59805983,0.6662052,9.1868205e-5,B
CO Montezuma,0.6223802,0.37723345,0.3880863,A
CO Montrose,0.64898163,0.33183885,0.4224086,A
