Name,S1,S2,S3,S4,Cluster
AK Yukon-Koyukuk,0.20063139629655125,0.36564608629800205,0.023714427163555114,0.5119397786339114,D
AK Southeast Fairbanks,0.13934193624081187,0.5496332220914097,5.900699817974441e-17,0.46595717738145936,C
AK Valdez-Cordova,0.3735616223305791,0.2758508500318016,5.900699817974441e-17,0.4243482176127549,D
AK Matanuska-Susitna,0.4843069845223728,0.23568375199525515,0.0020953987480697993,0.3026764069579183,D
AK Anchorage,0.12566199964955144,0.4322226619771026,0.00598719727411519,0.5427613988130425,D
AK Kenai Peninsula,0.5512241337267998,0.10451073198499404,0.008900027224934555,0.33803163172742323,A
AK Kodiak Island,0.5842446758166896,0.076498449998642,5.900699817974441e-17,0.357563190428391,A
AK Yakutat,0.3523771881936461,0.27729339493697946,5.900699817974441e-17,0.3789865547641376,D
AK Juneau,0.5419144131451923,0.044107209288260125,0.017119664332963233,0.42521233732257696,D
AK Hoonah-Angoon,0.4388690666994985,0.2521306395751478,5.900699817974441e-17,0.3486588340598094,D
AK Skagway,0.5019368255956669,0.14700097113520275,5.900699817974441e-17,0.4144051719088728,D
AK Haines,0.3560076449827756,0.22916989445260616,5.900699817974441e-17,0.44400579577985544,D
AK Prince of Wales-Hyder,5.0768270725494894e-15,0.6622662651438808,5.900699817974441e-17,0.5306174791287067,C
AK Petersburg,0.18664867755308082,0.4341173384895809,0.11294630278036646,0.4317283235820262,D
AK Sitka,0.490865210615254,0.14926397710395536,5.900699817974441e-17,0.39608471043640325,D
AK Ketchikan Gateway,0.1337975119379939,0.536020732699852,5.900699817974441e-17,0.5016314174560896,C
AK Wrangell,0.16920392030367445,0.44579408098305384,5.900699817974441e-17,0.46841660928985784,D
AK Aleutians East,4.114542613590106e-9,0.5937943796047985,5.900699817974441e-17,0.5207028653684159,C
AK Dillingham,0.20640282746211608,0.47071582046384364,5.900699817974441e-17,0.4286564663460856,C
AK Aleutians West,0.21768013870686623,0.3630047103799132,5.900699817974441e-17,0.4385783217625511,D
AK Lake and Peninsula,0.23461082450232607,0.38247046138008983,5.900699817974441e-17,0.4058422172708851,D
AK Bristol Bay,0.549292648197471,0.17057478636601747,5.900699817974441e-17,0.316357562610688,A
AK Bethel,0.13250153249405472,0.43115051561787143,5.900699817974441e-17,0.47915885766662475,D
AK Kusilvak,0.10611496994254956,0.4931804349687314,5.900699817974441e-17,0.44214553765612286,C
AK Nome,0.21012205556499494,0.4869405969470894,5.900699817974441e-17,0.395772077768833,C
AK Northwest Arctic,9.649867050970377e-5,0.5018099511268731,5.900699817974441e-17,0.5595947104650917,C
AK North Slope,0.023989559649857918,0.5124936506775613,5.900699817974441e-17,0.5214801516707059,C
AZ Apache,1.6950973146693997e-16,0.5878537007355249,0.29410339687425535,0.3978133581181291,C
AZ Cochise,0.3502883887613517,0.34817625848548683,0.04190813229664805,0.34502195801676094,D
AZ Coconino,0.24717945061019175,0.18025126774780612,0.14099317135531186,0.5085690583817553,D
AZ Gila,0.40991165042531297,0.49728857617076994,0.06577170634545927,0.18126523361229785,B
AZ Graham,0.2270186483931117,0.49808702567368734,0.03748964426464517,0.3267645003293704,C
AZ Greenlee,0.33226176147966796,0.4149803229385078,0.028303616553874665,0.2682588558512716,B
AZ La Paz,0.2702538871447623,0.5545777676226233,0.0975378753556123,0.20359193959963426,C
AZ Maricopa,0.19275212416266713,0.18515382601565225,0.06711126669152344,0.6991889352894485,D
AZ Mohave,0.4032490656706352,0.5250230766244697,0.08685921262332615,0.14572086727687403,B
AZ Navajo,0.01567838979703044,0.5678087756978469,0.2707393002286713,0.3802452470190647,C
AZ Pima,0.21391571012627392,0.22944629710699274,0.06820860817789429,0.5762430675983903,D
AZ Pinal,0.30945648015024557,0.30885012596942657,0.04941800400659321,0.36958635333054113,D
AZ Santa Cruz,1.6950973146693997e-16,0.34408274500398467,0.24317622448893914,0.5583725581516755,D
AZ Yavapai,0.6205523645285533,0.18787800996323062,0.030727304394437115,0.21428064808294164,A
AZ Yuma,2.526233263049391e-8,0.4500834096126458,0.18908245322249784,0.5021652594429781,C
AR Arkansas,0.3382085538272395,0.7307104962344563,0.01392788917672622,0.08389632952492644,C
AR Ashley,0.33752359926519343,0.7292235970349161,0.0422766486368565,0.051373380502270014,C
AR Baxter,0.7149576843506251,0.35894399725787707,5.900699817974441e-17,8.747325641977619e-17,B
AR Benton,0.5210502480238071,0.23125034091306387,0.02429735716109809,0.26329655413775954,A
AR Boone,0.6308343483011262,0.43574501902319224,0.0017099161402382955,8.747325641977619e-17,B
AR Bradley,0.20259061281249094,0.7753413677176364,0.07112315856346527,0.1396909746103806,C
AR Calhoun,0.38989908749207536,0.7197602668935361,5.900699817974441e-17,8.747325641977619e-17,B
AR Carroll,0.45338773734234605,0.4840969571135447,0.03153667187041434,0.1325652422531982,B
AR Chicot,1.7207904874879326e-9,0.8708824089749104,0.2228433944943389,0.21112482825108006,C
AR Clark,0.3208616467155097,0.5902562282686905,0.0025972782272956595,0.19017318575730213,C
AR Clay,0.4587660645399335,0.6592323752333478,0.044167168033575156,8.747325641977619e-17,B
AR Cleburne,0.6230982384399929,0.4194661520589183,0.049027627319864556,8.747325641977619e-17,B
