Name,S1,S2,S3,Cluster
AK Aleutians East,0.3362103001960658,0.34469971858047993,0.35159894717406315,C
AK Dillingham,0.4169884997042745,0.4381199758241882,0.19614080645374152,A
AK Aleutians West,0.46988251149619087,0.33365632993188493,0.18694256061240624,B
AK Lake and Peninsula,0.42137303155768874,0.36848588122410414,0.1898853527116133,B
AK Bristol Bay,0.5840538225420453,0.42359433084878967,0.025448265743587915,B
AK Bethel,0.446933728317966,0.3341898242112529,0.21864801846861767,B
AK Kusilvak,0.39124073614206417,0.41188246220757985,0.18734180635196865,A
AK Nome,0.3653449813199126,0.45675483552984847,0.20127362341118005,A
AK Northwest Arctic,0.3697223944901854,0.2863000397414041,0.34283011983964745,C
AK North Slope,0.3559359607070637,0.30873177189235096,0.3264893382920672,C
AZ Apache,0.20510644761718308,0.2533332604260683,0.6382634209588023,C
AZ Cochise,0.46933036773320463,0.38225237601551393,0.17960619468031047,B
AZ Coconino,0.6645879745174522,0.09121543568019662,0.31311104624656616,B
AZ Gila,0.28466687946805785,0.5917294219731848,0.16044778552523867,A
AZ Graham,0.3365406882263936,0.4443084278574872,0.21871983766412614,C
AZ Greenlee,0.3606596084542054,0.4561500885980085,0.15169186835738963,A
AZ La Paz,0.2109236589210038,0.52400762119495,0.2550217855035717,C
AZ Maricopa,0.8832676438502655,0.01484477360111794,0.2948784250269712,B
AZ Mohave,0.24946099304392527,0.6085548327387572,0.1729918638151266,A
AZ Navajo,0.2713390680539788,0.2968995239673245,0.5151218435716497,C
AZ Pima,0.7495782957392585,0.1160361184522328,0.24416948916232353,B
AZ Pinal,0.5244099231573173,0.30094196475976365,0.1808725905832042,B
AZ Santa Cruz,0.49074526875328056,0.04890360450776207,0.5301741621288848,B
AZ Yavapai,0.5106508133879278,0.4410037242467242,0.06259478759518995,A
AZ Yuma,0.4201869282090023,0.14708608220821828,0.48485426008267635,B
AR Arkansas,0.055891832142169605,0.7875838545616495,0.14773310812635948,A
AR Ashley,0.024704870600632367,0.8009095454944625,0.1489601557128533,A
AR Baxter,0.14862809277062133,0.7873811316994058,8.853917789406581e-17,A
AR Benton,0.504084178649261,0.4033114560100944,0.0950857033060494,B
AR Boone,0.12334903125615673,0.7984535042521527,0.0037715555172112046,A
AR Bradley,0.03256316864071647,0.7169799927116802,0.24847671097660168,C
AR Calhoun,1.482060636446516e-7,0.8875871439261266,0.04602119153049442,A
AR Carroll,0.17680302189517044,0.6672907050276624,0.12129720190161195,A
AR Chicot,2.1919922624758194e-10,0.5755913471252232,0.49705401394778,C
AR Clark,0.22084618204798165,0.6329206059848433,0.1328949483557406,A
AR Clay,0.004730242126090322,0.8654368542243847,0.10026978271838838,A
AR Cleburne,0.051627122876256794,0.8079921442479729,0.06147071461433049,A
AR Cleveland,0.004584159918838268,0.8265921582311351,0.08511186017819075,A
AR Columbia,0.0923139575662884,0.7148612210587642,0.18854542227187804,A
AR Conway,0.141617916036192,0.7449248012437742,0.08808449373242302,A
AR Craighead,0.2635973129416108,0.6052301859698402,0.1271212364653851,A
