CO Jefferson,0.8303306,0.3304279,A
CO Kiowa,1.0916102e-12,0.963196,B
CO Kit Carson,0.37375414,0.6978959,B
CO La Plata,0.63441426,0.49067616,A
CO Lake,0.20501304,0.8277691,B
CO Larimer,0.7502154,0.39854908,A
CO Las Animas,0.21102896,0.8276688,B
CO Lincoln,0.5047501,0.5935632,A
CO Logan,0.751157,0.39932543,A
CO Mesa,0.5118496,0.5881697,A
CO Mineral,1.7822094e-13,0.95935875,B
CO Moffat,0.37267098,0.6973089,B
CO Montezuma,0.7433422,0.40605766,A
CO Montrose,0.75229806,0.39763758,A
CO Morgan,0.5692543,0.54194164,A
CO Otero,0.62779456,0.4974489,A
CO Ouray,0.28954303,0.7581339,B
CO Park,0.23397133,0.8025648,B
CO Phillips,7.246982e-8,0.9937022,B
CO Pitkin,0.6342161,0.48309994,A
CO Prowers,0.16139002,0.8652742,B
CO Pueblo,0.75740874,0.39495313,A
CO Rio Blanco,0.20929371,0.82818025,B
CO Rio Grande,0.5068188,0.5930808,A
CO Routt,0.75397944,0.39531577,A
CO Saguache,0.30775714,0.7488451,B
CO San Juan,1.43811334e-11,0.94787395,B
CO San Miguel,9.358973e-8,0.99208754,B
CO Sedgwick,4.8150273e-12,0.9822844,B
CO Summit,0.7565275,0.38319984,A
CO Teller,0.50613564,0.5885916,A
CO Washington,0.21407537,0.82457954,B
CO Weld,0.7590584,0.39187965,A
CO Yuma,0.21539496,0.82393163,B
CT Tolland,0.6897274,0.43699476,A
CT New Haven,0.7676653,0.38557297,A
CT Windham,0.6295416,0.49344057,A
CT Hartford,0.841609,0.3227916,A
CT Litchfield,0.7526881,0.39579755,A
CT Fairfield,0.7699374,0.38319063,A
CT New London,0.75750154,0.39327258,A
CT Middlesex,0.82739604,0.33195236,A
DE New Castle,0.8348237,0.32838082,A
DE Kent,0.7633634,0.38985142,A
DE Sussex,0.76053506,0.39206463,A
DC DC,0.8717361,0.27506623,A
FL Alachua,0.75278723,0.39823866,A
FL Baker,0.5498692,0.5518167,A
FL Bay,0.7503843,0.4003805,A
FL Bradford,0.62893546,0.4952629,A
FL Brevard,0.75098586,0.39965478,A
FL Broward,0.83434135,0.32729775,A
FL Calhoun,0.21275711,0.8252117,B
FL Charlotte,0.74817693,0.4002438,A
FL Citrus,0.7482054,0.40043068,A
FL Clay,0.82566416,0.33349895,A
FL Collier,0.7513284,0.39907476,A
FL Columbia,0.7467731,0.4027474,A
FL Desoto,0.7513329,0.39849204,A
FL Dixie,0.5056984,0.59228796,A
FL Duval,0.8293173,0.33371627,A
FL Escambia,0.75980544,0.39333263,A
FL Flagler,0.74546325,0.40193045,A
FL Franklin,0.5067742,0.5920306,A
FL Gadsden,0.6380467,0.48815048,A
FL Gilchrist,0.15935457,0.8659252,B
FL Glades,0.49892598,0.59794784,A
FL Gulf,0.50666803,0.5918384,A
FL Hamilton,0.39431834,0.67444825,B
FL Hardee,0.5052699,0.59294665,A
FL Hendry,0.6761481,0.4608136,A
FL Hernando,0.8551811,0.3128147,A
FL Highlands,0.7855743,0.3741722,A
FL Hillsborough,0.86659163,0.3057573,A
FL Holmes,0.536054,0.5702453,A
FL Indian River,0.7783697,0.38015485,A
FL Jackson,0.53727615,0.5703393,A
FL Jefferson,0.66937447,0.46562007,A
FL Lafayette,0.49152163,0.5970073,B
FL Lake,0.8612433,0.30895913,A
FL Lee,0.7929575,0.36850616,A
FL Leon,0.7905842,0.37002423,A
FL Levy,0.5300091,0.57589585,A
FL Liberty,0.3102809,0.73656064,B
FL Madison,0.7445568,0.40484223,A
FL Manatee,0.7957665,0.36652863,A
FL Marion,0.78204805,0.37691498,A
FL Martin,0.7892988,0.3710844,A
FL Miami-Dade,0.87249106,0.29368547,A
FL Monroe,0.79140574,0.36988664,A
FL Nassau,0.8524168,0.31598502,A
FL Okaloosa,0.78104234,0.3780627,A
FL Okeechobee,0.23664647,0.81006736,B
FL Orange,0.8702028,0.30249274,A
FL Osceola,0.8642175,0.3058654,A
FL Palm Beach,0.8777412,0.29664394,A
FL Pasco,0.8639609,0.30250663,A
FL Pinellas,0.87485284,0.29880145,A
FL Polk,0.78928244,0.37140954,A
FL Putnam,0.78892344,0.37174124,A
FL Santa Rosa,0.66168886,0.4707327,A
FL Sarasota,0.79173964,0.36891377,A
FL Seminole,0.86263746,0.3070368,A
FL St. Johns,0.856157,0.31134677,A
FL St. Lucie,0.78954995,0.3703395,A
FL Sumter,0.66041595,0.4705939,A
FL Suwannee,0.7846685,0.37483466,A
FL Taylor,0.539627,0.5681736,A
FL Union,0.6409905,0.47804856,A
FL Volusia,0.78866357,0.37191364,A
FL Wakulla,0.66112745,0.46963692,A
FL Walton,0.7835569,0.3757965,A
FL Washington,0.5232547,0.57817817,A
GA Appling,0.6741213,0.4623,A
GA Atkinson,0.774061,0.38068116,A
GA Bacon,0.5439696,0.5657199,A
GA Baker,0.31378826,0.73420054,B
GA Baldwin,0.7960114,0.3650341,A
GA Banks,0.22876178,0.8140514,B
GA Barrow,0.73664814,0.4062216,A
GA Bartow,0.87211907,0.2995239,A
GA Ben Hill,0.5415538,0.5674495,A
GA Berrien,0.39471155,0.6831282,B
GA Bibb,0.8043929,0.36052975,A
GA Bleckley,0.5361619,0.5707751,A
GA Brantley,0.63329905,0.48895237,A
GA Brooks,0.5495482,0.5609149,A
GA Bryan,0.5426466,0.56217414,A
GA Bulloch,0.78323317,0.37533295,A
GA Burke,0.79266983,0.36877948,A
GA Butts,0.60352945,0.51256186,A
GA Calhoun,0.45531532,0.6218858,B
GA Camden,0.7833939,0.3748508,A
GA Candler,0.21565115,0.8239389,B
GA Carroll,0.87109745,0.30110005,A
GA Catoosa,0.6689122,0.46401814,A
GA Charlton,0.5347613,0.57073754,A
GA Chatham,0.7959861,0.36669627,A
GA Chattahoochee,0.29416698,0.7344952,B
GA Chattooga,0.39297163,0.68379533,B
GA Cherokee,0.85864687,0.30835366,A
GA Clarke,0.79651535,0.3647707,A
GA Clay,0.2713504,0.75923187,B
GA Clayton,0.88259083,0.290208,A
GA Clinch,0.6034433,0.5170314,A
GA Cobb,0.87515706,0.29751688,A
GA Coffee,0.7960789,0.36645052,A
GA Colquitt,0.7934801,0.3690735,A
GA Columbia,0.78209543,0.3743416,A
GA Cook,0.53609407,0.57073945,A
GA Coweta,0.8630359,0.30580086,A
GA Crawford,0.4006342,0.6773311,B
GA Crisp,0.7994473,0.3638216,A
GA Dade,0.53152055,0.5736021,A
GA Dawson,0.64396423,0.4787833,A
GA Decatur,0.67112446,0.46567118,A
GA DeKalb,0.8852141,0.28922963,A
GA Dodge,0.5365285,0.5704537,A
GA Dooly,0.54593235,0.5631158,A
GA Dougherty,0.8095645,0.35655984,A
GA Douglas,0.8695259,0.301027,A
GA Early,0.6671661,0.46601403,A
GA Echols,1.0101779e-8,0.97383094,B
GA Effingham,0.77451587,0.38009158,A
GA Elbert,0.40205878,0.67746735,B
GA Emanuel,0.66938496,0.46624407,A
GA Evans,0.17834184,0.85446054,B
GA Fannin,0.6595222,0.473256,A
GA Fayette,0.8650161,0.30460948,A
GA Floyd,0.79628974,0.36614588,A
GA Forsyth,0.7265135,0.40565437,A
GA Franklin,0.53234255,0.5741721,A
GA Fulton,0.88463324,0.2914164,A
GA Gilmer,0.2325702,0.81240034,B
GA Glascock,7.401278e-15,0.95433176,B
GA Glynn,0.7891475,0.3720161,A
GA Gordon,0.79026705,0.36969912,A
GA Grady,0.54020745,0.56858784,A
GA Greene,0.6013044,0.5195299,A
GA Gwinnett,0.8753587,0.2961897,A
GA Habersham,0.5404722,0.5645505,A
GA Hall,0.79671884,0.36480755,A
GA Hancock,0.47140157,0.6160645,B
GA Haralson,0.85985124,0.30852267,A
GA Harris,0.66146094,0.46954578,A
GA Hart,0.20337653,0.83316314,B
GA Heard,0.44257805,0.62302005,B
GA Henry,0.8701848,0.2996361,A
GA Houston,0.79455876,0.3667302,A
GA Irwin,0.49854866,0.59933645,A
GA Jackson,0.6618574,0.47003013,A
GA Jasper,0.25645906,0.78944796,B
GA Jeff Davis,0.66981846,0.46230415,A
GA Jefferson,0.5355683,0.5715754,A
GA Jenkins,0.2688596,0.7672985,B
GA Johnson,0.5261328,0.5754547,A
GA Jones,0.5342415,0.57036424,A
GA Lamar,0.8691223,0.30235714,A
GA Lanier,0.5391059,0.5682739,A
GA Laurens,0.77981174,0.37911907,A
GA Lee,0.7932188,0.36702153,A
GA Liberty,0.6722759,0.46255332,A
GA Lincoln,0.3303619,0.7318392,B
GA Long,0.6672612,0.46435148,A
GA Lowndes,0.7895443,0.37120098,A
GA Lumpkin,0.6610754,0.47118527,A
GA Macon,0.6029112,0.5160393,A
GA Madison,0.66126,0.47059712,A
GA Marion,0.33298486,0.7305299,B
GA McDuffie,0.6661009,0.46805835,A
GA McIntosh,0.46763632,0.6229797,B
GA Meriwether,0.7276235,0.4143684,A
GA Miller,0.34969956,0.7147055,B
GA Mitchell,0.5515267,0.5590236,A
GA Monroe,0.66883475,0.46495777,A
GA Montgomery,0.00092647923,0.997841,B
GA Morgan,0.39673445,0.6758544,B
GA Murray,0.65886647,0.4720267,A
GA Muscogee,0.79976743,0.36327454,A
GA Newton,0.873275,0.2953415,A
GA Oconee,0.4652786,0.6246959,B
GA Oglethorpe,0.79154897,0.36777824,A
GA Paulding,0.86042124,0.3059663,A
GA Peach,0.6698805,0.46629897,A
GA Pickens,0.5089078,0.58567977,A
GA Pierce,0.5425999,0.5658591,A
GA Pike,0.5846915,0.5227416,A
GA Polk,0.67213356,0.46346307,A
GA Pulaski,0.53770566,0.56978524,A
GA Putnam,0.6733571,0.46272153,A
GA Quitman,0.66893816,0.44781518,A
GA Rabun,0.59199405,0.5264563,A
GA Randolph,0.43163162,0.64112794,B
GA Richmond,0.8034013,0.36027938,A
GA Rockdale,0.8682597,0.3029033,A
GA Schley,0.27733463,0.76670194,B
GA Screven,0.6663286,0.46776187,A
GA Seminole,0.58851135,0.52377224,A
GA Spalding,0.8756403,0.2981498,A
GA Stephens,0.6725144,0.4631531,A
GA Stewart,0.29320398,0.7535092,B
GA Sumter,0.5552642,0.5576603,A
GA Talbot,0.55911845,0.54873127,A
